Angle,Intensity
15.78652722,590
15.7996575,491
15.81278778,576
15.82591807,566
15.83904835,565
15.85217863,559
15.86530891,573
15.8784392,510
15.89156948,539
15.90469976,530
15.91783004,568
15.93096033,562
15.94409061,570
15.95722089,548
15.97035118,563
15.98348146,559
15.99661174,516
16.00974202,481
16.02287231,539
16.03600259,536
16.04913287,537
16.06226315,554
16.07539344,516
16.08852372,554
16.101654,564
16.11478428,555
16.12791457,547
16.14104485,509
16.15417513,548
16.16730542,543
16.1804357,537
16.19356598,509
16.20669626,516
16.21982655,543
16.23295683,563
16.24608711,534
16.25921739,565
16.27234768,550
16.28547796,524
16.29860824,557
16.31173853,523
16.32486881,535
16.33799909,524
16.35112937,548
16.36425966,552
16.37738994,508
16.39052022,521
16.4036505,480
16.41678079,505
16.42991107,503
16.44304135,551
16.45617163,531
16.46930192,510
16.4824322,501
16.49556248,536
16.50869277,546
16.52182305,551
16.53495333,515
16.54808361,507
16.5612139,554
16.57434418,514
16.58747446,501
16.60060474,506
16.61373503,521
16.62686531,541
16.63999559,547
16.65312587,531
16.66625616,499
16.67938644,548
16.69251672,522
16.70564701,534
16.71877729,513
16.73190757,516
16.74503785,540
16.75816814,511
16.77129842,498
16.7844287,540
16.79755898,530
16.81068927,519
16.82381955,503
16.83694983,502
16.85008011,480
16.8632104,533
16.87634068,525
16.88947096,528
16.90260125,547
16.91573153,506
16.92886181,561
16.94199209,549
16.95512238,505
16.96825266,528
16.98138294,492
16.99451322,506
17.00764351,564
17.02077379,503
17.03390407,490
17.04703435,505
17.06016464,527
17.07329492,553
17.0864252,508
17.09955549,513
17.11268577,484
17.12581605,492
17.13894633,515
17.15207662,496
17.1652069,508
17.17833718,542
17.19146746,500
17.20459775,472
17.21772803,486
17.23085831,532
17.2439886,500
17.25711888,532
17.27024916,479
17.28337944,579
17.29650973,515
17.30964001,509
17.32277029,456
17.33590057,462
17.34903086,456
17.36216114,493
17.37529142,475
17.3884217,540
17.40155199,499
17.41468227,511
17.42781255,530
17.44094284,456
17.45407312,497
17.4672034,478
17.48033368,509
17.49346397,508
17.50659425,516
17.51972453,495
17.53285481,490
17.5459851,481
17.55911538,478
17.57224566,469
17.58537594,491
17.59850623,538
17.61163651,535
17.62476679,490
17.63789708,485
17.65102736,508
17.66415764,462
17.67728792,472
17.69041821,509
17.70354849,489
17.71667877,500
17.72980905,458
17.74293934,559
17.75606962,480
17.7691999,528
17.78233018,510
17.79546047,553
17.80859075,543
17.82172103,507
17.83485132,492
17.8479816,481
17.86111188,486
17.87424216,475
17.88737245,481
17.90050273,483
17.91363301,489
17.92676329,493
17.93989358,479
17.95302386,482
17.96615414,483
17.97928442,489
17.99241471,518
18.00554499,437
18.01867527,486
18.03180556,508
18.04493584,485
18.05806612,471
18.0711964,482
18.08432669,463
18.09745697,507
18.11058725,468
18.12371753,449
18.13684782,486
18.1499781,500
18.16310838,507
18.17623867,465
18.18936895,498
18.20249923,539
18.21562951,516
18.2287598,450
18.24189008,500
18.25502036,454
18.26815064,482
18.28128093,513
18.29441121,466
18.30754149,461
18.32067177,515
18.33380206,512
18.34693234,493
18.36006262,506
18.37319291,458
18.38632319,459
18.39945347,461
18.41258375,497
18.42571404,512
18.43884432,497
18.4519746,471
18.46510488,474
18.47823517,480
18.49136545,454
18.50449573,465
18.51762601,499
18.5307563,429
18.54388658,546
18.55701686,438
18.57014715,457
18.58327743,490
18.59640771,476
18.60953799,463
18.62266828,500
18.63579856,492
18.64892884,476
18.66205912,447
18.67518941,475
18.68831969,453
18.70144997,502
18.71458025,447
18.72771054,431
18.74084082,484
18.7539711,535
18.76710139,477
18.78023167,509
18.79336195,477
18.80649223,490
18.81962252,469
18.8327528,458
18.84588308,480
18.85901336,453
18.87214365,477
18.88527393,520
18.89840421,484
18.9115345,460
18.92466478,470
18.93779506,478
18.95092534,432
18.96405563,420
18.97718591,454
18.99031619,455
19.00344647,473
19.01657676,414
19.02970704,482
19.04283732,476
19.0559676,436
19.06909789,468
19.08222817,465
19.09535845,498
19.10848874,513
19.12161902,495
19.1347493,509
19.14787958,472
19.16100987,508
19.17414015,487
19.18727043,496
19.20040071,462
19.213531,495
19.22666128,475
19.23979156,429
19.25292184,466
19.26605213,479
19.27918241,461
19.29231269,481
19.30544298,454
19.31857326,431
19.33170354,493
19.34483382,479
19.35796411,472
19.37109439,478
19.38422467,428
19.39735495,468
19.41048524,447
19.42361552,457
19.4367458,476
19.44987608,491
19.46300637,430
19.47613665,477
19.48926693,484
19.50239722,486
19.5155275,478
19.52865778,453
19.54178806,478
19.55491835,460
19.56804863,461
19.58117891,455
19.59430919,432
19.60743948,481
19.62056976,466
19.63370004,479
19.64683032,537
19.65996061,501
19.67309089,487
19.68622117,551
19.69935146,512
19.71248174,513
19.72561202,562
19.7387423,572
19.75187259,554
19.76500287,573
19.77813315,626
19.79126343,677
19.80439372,775
19.817524,859
19.83065428,893
19.84378457,945
19.85691485,955
19.87004513,853
19.88317541,769
19.8963057,723
19.90943598,668
19.92256626,640
19.93569654,543
19.94882683,551
19.96195711,520
19.97508739,495
19.98821767,506
20.00134796,472
20.01447824,496
20.02760852,450
20.04073881,508
20.05386909,501
20.06699937,490
20.08012965,454
20.09325994,503
20.10639022,496
20.1195205,485
20.13265078,485
20.14578107,461
20.15891135,463
20.17204163,471
20.18517191,448
20.1983022,431
20.21143248,459
20.22456276,493
20.23769305,458
20.25082333,474
20.26395361,431
20.27708389,458
20.29021418,453
20.30334446,458
20.31647474,447
20.32960502,467
20.34273531,452
20.35586559,464
20.36899587,503
20.38212615,449
20.39525644,476
20.40838672,407
20.421517,459
20.43464729,462
20.44777757,457
20.46090785,437
20.47403813,493
20.48716842,461
20.5002987,506
20.51342898,424
20.52655926,462
20.53968955,428
20.55281983,449
20.56595011,415
20.57908039,398
20.59221068,461
20.60534096,476
20.61847124,434
20.63160153,434
20.64473181,422
20.65786209,423
20.67099237,445
20.68412266,441
20.69725294,423
20.71038322,465
20.7235135,456
20.73664379,455
20.74977407,429
20.76290435,462
20.77603464,441
20.78916492,443
20.8022952,447
20.81542548,473
20.82855577,435
20.84168605,413
20.85481633,447
20.86794661,471
20.8810769,466
20.89420718,465
20.90733746,455
20.92046774,397
20.93359803,465
20.94672831,460
20.95985859,458
20.97298888,478
20.98611916,465
20.99924944,459
21.01237972,424
21.02551001,454
21.03864029,453
21.05177057,428
21.06490085,454
21.07803114,417
21.09116142,498
21.1042917,466
21.11742198,442
21.13055227,457
21.14368255,406
21.15681283,407
21.16994312,464
21.1830734,500
21.19620368,433
21.20933396,455
21.22246425,431
21.23559453,448
21.24872481,424
21.26185509,475
21.27498538,452
21.28811566,459
21.30124594,470
21.31437622,454
21.32750651,424
21.34063679,419
21.35376707,408
21.36689736,421
21.38002764,443
21.39315792,485
21.4062882,450
21.41941849,436
21.43254877,481
21.44567905,492
21.45880933,444
21.47193962,461
21.4850699,464
21.49820018,474
21.51133046,449
21.52446075,404
21.53759103,421
21.55072131,493
21.5638516,451
21.57698188,398
21.59011216,439
21.60324244,455
21.61637273,424
21.62950301,444
21.64263329,408
21.65576357,420
21.66889386,444
21.68202414,501
21.69515442,432
21.70828471,444
21.72141499,443
21.73454527,439
21.74767555,417
21.76080584,433
21.77393612,464
21.7870664,425
21.80019668,418
21.81332697,445
21.82645725,459
21.83958753,480
21.85271781,442
21.8658481,474
21.87897838,417
21.89210866,415
21.90523895,499
21.91836923,466
21.93149951,461
21.94462979,465
21.95776008,456
21.97089036,491
21.98402064,424
21.99715092,430
22.01028121,483
22.02341149,414
22.03654177,477
22.04967205,379
22.06280234,407
22.07593262,399
22.0890629,443
22.10219319,429
22.11532347,475
22.12845375,459
22.14158403,463
22.15471432,441
22.1678446,471
22.18097488,416
22.19410516,447
22.20723545,449
22.22036573,462
22.23349601,481
22.24662629,428
22.25975658,471
22.27288686,413
22.28601714,429
22.29914743,467
22.31227771,426
22.32540799,475
22.33853827,451
22.35166856,419
22.36479884,460
22.37792912,487
22.3910594,476
22.40418969,436
22.41731997,438
22.43045025,439
22.44358054,413
22.45671082,466
22.4698411,437
22.48297138,414
22.49610167,427
22.50923195,451
22.52236223,426
22.53549251,447
22.5486228,420
22.56175308,436
22.57488336,455
22.58801364,447
22.60114393,472
22.61427421,433
22.62740449,416
22.64053478,436
22.65366506,434
22.66679534,419
22.67992562,428
22.69305591,451
22.70618619,447
22.71931647,436
22.73244675,416
22.74557704,450
22.75870732,417
22.7718376,434
22.78496788,423
22.79809817,419
22.81122845,405
22.82435873,487
22.83748902,495
22.8506193,455
22.86374958,422
22.87687986,479
22.89001015,422
22.90314043,432
22.91627071,454
22.92940099,397
22.94253128,442
22.95566156,430
22.96879184,419
22.98192212,434
22.99505241,432
23.00818269,471
23.02131297,421
23.03444326,434
23.04757354,446
23.06070382,420
23.0738341,464
23.08696439,457
23.10009467,472
23.11322495,412
23.12635523,420
23.13948552,426
23.1526158,415
23.16574608,455
23.17887636,404
23.19200665,409
23.20513693,436
23.21826721,431
23.2313975,443
23.24452778,395
23.25765806,435
23.27078834,418
23.28391863,413
23.29704891,461
23.31017919,435
23.32330947,439
23.33643976,425
23.34957004,448
23.36270032,440
23.37583061,426
23.38896089,474
23.40209117,439
23.41522145,435
23.42835174,412
23.44148202,424
23.4546123,427
23.46774258,413
23.48087287,426
23.49400315,436
23.50713343,391
23.52026371,406
23.533394,441
23.54652428,472
23.55965456,468
23.57278485,407
23.58591513,473
23.59904541,460
23.61217569,436
23.62530598,437
23.63843626,453
23.65156654,424
23.66469682,470
23.67782711,439
23.69095739,437
23.70408767,402
23.71721795,424
23.73034824,475
23.74347852,441
23.7566088,439
23.76973909,438
23.78286937,454
23.79599965,489
23.80912993,448
23.82226022,472
23.8353905,449
23.84852078,434
23.86165106,402
23.87478135,461
23.88791163,447
23.90104191,458
23.91417219,482
23.92730248,496
23.94043276,442
23.95356304,465
23.96669333,401
23.97982361,487
23.99295389,479
24.00608417,516
24.01921446,460
24.03234474,430
24.04547502,435
24.0586053,444
24.07173559,436
24.08486587,447
24.09799615,486
24.11112643,441
24.12425672,467
24.137387,460
24.15051728,531
24.16364757,536
24.17677785,524
24.18990813,538
24.20303841,600
24.2161687,623
24.22929898,656
24.24242926,733
24.25555954,740
24.26868983,871
24.28182011,926
24.29495039,1122
24.30808068,1253
24.32121096,1475
24.33434124,1792
24.34747152,2015
24.36060181,2053
24.37373209,2056
24.38686237,1993
24.39999265,1858
24.41312294,1675
24.42625322,1563
24.4393835,1355
24.45251378,1146
24.46564407,970
24.47877435,778
24.49190463,672
24.50503492,629
24.5181652,607
24.53129548,513
24.54442576,519
24.55755605,540
24.57068633,494
24.58381661,493
24.59694689,474
24.61007718,468
24.62320746,431
24.63633774,454
24.64946802,461
24.66259831,468
24.67572859,426
24.68885887,418
24.70198916,470
24.71511944,453
24.72824972,432
24.74138,450
24.75451029,474
24.76764057,474
24.78077085,419
24.79390113,427
24.80703142,404
24.8201617,452
24.83329198,429
24.84642226,449
24.85955255,477
24.87268283,435
24.88581311,437
24.8989434,416
24.91207368,439
24.92520396,459
24.93833424,382
24.95146453,446
24.96459481,410
24.97772509,394
24.99085537,425
25.00398566,402
25.01711594,395
25.03024622,436
25.0433765,441
25.05650679,428
25.06963707,431
25.08276735,421
25.09589764,379
25.10902792,462
25.1221582,431
25.13528848,423
25.14841877,421
25.16154905,430
25.17467933,435
25.18780961,433
25.2009399,392
25.21407018,394
25.22720046,386
25.24033075,400
25.25346103,421
25.26659131,392
25.27972159,429
25.29285188,454
25.30598216,440
25.31911244,418
25.33224272,443
25.34537301,405
25.35850329,388
25.37163357,423
25.38476385,434
25.39789414,432
25.41102442,443
25.4241547,431
25.43728499,444
25.45041527,477
25.46354555,411
25.47667583,403
25.48980612,395
25.5029364,392
25.51606668,416
25.52919696,397
25.54232725,400
25.55545753,427
25.56858781,452
25.58171809,454
25.59484838,426
25.60797866,412
25.62110894,425
25.63423923,412
25.64736951,423
25.66049979,387
25.67363007,439
25.68676036,444
25.69989064,432
25.71302092,418
25.7261512,400
25.73928149,392
25.75241177,452
25.76554205,397
25.77867233,430
25.79180262,427
25.8049329,442
25.81806318,457
25.83119347,414
25.84432375,439
25.85745403,460
25.87058431,489
25.8837146,441
25.89684488,451
25.90997516,438
25.92310544,448
25.93623573,436
25.94936601,437
25.96249629,409
25.97562658,399
25.98875686,433
26.00188714,449
26.01501742,467
26.02814771,466
26.04127799,462
26.05440827,438
26.06753855,467
26.08066884,431
26.09379912,428
26.1069294,438
26.12005968,459
26.13318997,465
26.14632025,449
26.15945053,475
26.17258082,437
26.1857111,491
26.19884138,461
26.21197166,482
26.22510195,480
26.23823223,423
26.25136251,487
26.26449279,475
26.27762308,546
26.29075336,513
26.30388364,467
26.31701392,478
26.33014421,495
26.34327449,548
26.35640477,531
26.36953506,584
26.38266534,597
26.39579562,626
26.4089259,685
26.42205619,684
26.43518647,691
26.44831675,715
26.46144703,769
26.47457732,824
26.4877076,817
26.50083788,870
26.51396816,919
26.52709845,846
26.54022873,825
26.55335901,833
26.5664893,761
26.57961958,717
26.59274986,686
26.60588014,681
26.61901043,628
26.63214071,627
26.64527099,633
26.65840127,590
26.67153156,603
26.68466184,543
26.69779212,533
26.7109224,472
26.72405269,491
26.73718297,488
26.75031325,464
26.76344354,507
26.77657382,455
26.7897041,470
26.80283438,459
26.81596467,433
26.82909495,408
26.84222523,428
26.85535551,407
26.8684858,481
26.88161608,472
26.89474636,463
26.90787665,448
26.92100693,480
26.93413721,452
26.94726749,444
26.96039778,396
26.97352806,395
26.98665834,431
26.99978862,401
27.01291891,422
27.02604919,447
27.03917947,383
27.05230975,374
27.06544004,366
27.07857032,443
27.0917006,427
27.10483089,403
27.11796117,419
27.13109145,401
27.14422173,428
27.15735202,420
27.1704823,407
27.18361258,439
27.19674286,408
27.20987315,404
27.22300343,480
27.23613371,441
27.24926399,441
27.26239428,456
27.27552456,438
27.28865484,412
27.30178513,438
27.31491541,422
27.32804569,480
27.34117597,396
27.35430626,448
27.36743654,455
27.38056682,461
27.3936971,417
27.40682739,428
27.41995767,452
27.43308795,438
27.44621823,438
27.45934852,419
27.4724788,442
27.48560908,430
27.49873937,466
27.51186965,417
27.52499993,452
27.53813021,445
27.5512605,425
27.56439078,382
27.57752106,415
27.59065134,460
27.60378163,439
27.61691191,416
27.63004219,415
27.64317247,445
27.65630276,471
27.66943304,476
27.68256332,425
27.69569361,453
27.70882389,410
27.72195417,429
27.73508445,471
27.74821474,465
27.76134502,459
27.7744753,425
27.78760558,460
27.80073587,485
27.81386615,443
27.82699643,424
27.84012672,442
27.853257,453
27.86638728,477
